OBJECTID,tmc,speed_limit
861,129+08690,50
862,129+08691,30
863,129P08691,25
864,129+08685,30
865,129+08688,40
866,129P08685,30
867,129P06420,25
868,129-08688,40
869,129-05810,30
870,129-08689,50
871,129-08690,30
872,129N06420,25
873,129-06420,35
874,129N05810,30
875,129-08691,40
876,129-08687,40
877,129-08686,35
878,129-08685,35
879,129-06419,25
880,129+14224,40
881,129+08674,40
882,129P08680,30
883,129P08674,40
884,129+08678,35
885,129P08677,40
886,129+08684,30
887,129+14226,25
888,129+08679,35
889,129+08677,50
890,129P08676,30
891,129P14226,30
892,129+08681,30
893,129+08683,30
894,129P14224,25
895,129+05809,25
896,129+08676,30
897,129+08682,30
898,129P08675,30
899,129P08683,30
900,129+08673,45
901,129P08679,35
902,129+06419,30
903,129+08675,30
904,129+08680,30
905,129N14226,30
906,129-08674,30
907,129-08676,50
908,129-08684,25
909,129N14224,25
910,129-14224,35
911,129-08679,30
912,129N08677,40
913,129-08681,30
914,129N08674,40
915,129N08676,30
916,129N08675,30
917,129-08673,40
918,129-08683,30
919,129-05809,25
920,129-14226,30
921,129-08672,45
922,129-08680,30
923,129-08677,25
924,129-08682,30
925,129N08680,30
926,129-08678,35
927,129N08679,35
928,129N08683,30
929,129-08675,30
930,129+10214,30
931,129+10206,50
932,129P10212,30
933,129+10201,30
934,129+10204,45
935,129+10207,45
936,129+10211,35
937,129+10215,40
938,129P10201,30
939,129P10213,40
940,129+10203,25
941,129+10213,45
942,129+10208,35
943,129P10210,35
944,129+10212,30
945,129P10211,25
946,129P10215,30
947,129+10202,40
948,129+10209,40
949,129+10210,40
950,129P10205,50
951,129+10205,50
952,129-10201,40
953,129-10206,45
954,129-10205,50
955,129N10215,30
956,129-10212,45
957,129-10202,25
958,129N10211,25
959,129-10200,30
960,129-10204,50
961,129N10205,50
962,129-10214,40
963,129N10210,35
964,129N10212,30
965,129-10211,30
966,129-10208,40
967,129-10207,35
968,129-10203,45
969,129-10213,30
970,129N10201,30
971,129-10209,40
972,129N10213,40
973,129-10210,35
974,129+06290,30
975,129+05387,30
976,129+05382,35
977,129+05367,45
978,129+05388,30
979,129+06281,35
980,129P05378,40
981,129P05367,45
982,129+05379,45
983,129P15504,35
984,129P14215,30
985,129+06280,45
986,129P05371,40
987,129+06283,30
988,129+08518,30
989,129+15612,30
990,129+05386,30
991,129+05377,35
992,129+05376,30
993,129+05368,35
994,129+08517,30
995,129+05374,40
996,129+05385,30
997,129+14215,30
998,129+05384,35
999,129+05381,35
1000,129+06284,30
1001,129+05371,40
1002,129P06281,35
1003,129P05387,30
1004,129P05369,30
1005,129P06284,30
1006,129P05379,40
1007,129P05381,35
1008,129+06282,30
1009,129+05372,50
1010,129+05389,30
1011,129+05383,35
1012,129+05380,40
1013,129P05375,30
1014,129+15504,35
1015,129P05382,35
1016,129P05386,30
1017,129P08518,25
1018,129+05369,30
1019,129+05378,40
1020,129P06290,30
1021,129+05370,30
1022,129+05375,30
1023,129P05389,30
1024,129N05384,35
1025,129N05378,40
1026,129N06281,35
1027,129N05382,35
1028,129-06283,30
1029,129-05383,35
1030,129-05382,35
1031,129-05377,35
1032,129-05381,30
1033,129-05384,35
1034,129-05380,35
1035,129-05386,30
1036,129-05388,30
1037,129N15504,35
1038,129-05368,25
1039,129-05367,35
