tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
129P08243,VFW PKY,NORTHBOUND,W ROXBURY PKWY,MA,SUFFOLK,02132,42.29636,-71.14596,42.29635,-71.14524,0.047847,7.0,America/New_York,P1.11,USA,618,3,N,3,9271,2,,2,,1,1,,24067,937,264,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,12034,469,132
129P08244,VFW PKY,NORTHBOUND,CENTRE ST,MA,SUFFOLK,02132,42.29694,-71.13344,42.29682,-71.13285,0.031266,7.5,America/New_York,P1.11,USA,618,3,N,3,9271,2,,4,,1,1,,31806,1463,350,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,15903,732,175
129P08248,ELM ST,NORTHBOUND,RT-27/EAST ST,MA,NORFOLK,02081,42.14605,-71.25553,42.14623,-71.25579,0.01822,1.0,America/New_York,P1.11,USA,620,3,N,3,9271,2,,2,27,4,1,27,13151,606,145,1,37,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6576,303,73
129N10948,WASHINGTON ST,EASTBOUND,MA-9/WASHINGTON ST/BOYLSTON ST,MA,NORFOLK,02445,42.33169,-71.11764,42.33158,-71.11725,0.02134,9.0,America/New_York,P1.11,USA,1219,4,N,3,9271,6,1,4,,1,1,,14876,253,72,1,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7438,127,36
129P08240,VFW PKY,NORTHBOUND,MA-109/SPRING ST,MA,SUFFOLK,02132,42.27072,-71.17213,42.27198,-71.17292,0.096259,3.0,America/New_York,P1.11,USA,618,3,N,3,9271,6,,4,109,4,1,,31806,1463,350,1,61,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,15903,732,175
129N08631,BOYLSTON ST,WESTBOUND,PARK DR,MA,SUFFOLK,02215,42.34558,-71.0943,42.34539,-71.09469,0.023992,7.0,America/New_York,P1.11,USA,715,4,N,3,9271,2,,4,,1,1,,28745,1122,316,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,14373,561,158
129N08630,BOYLSTON ST,WESTBOUND,PARK DR/BROOKLINE AVE,MA,SUFFOLK,02215,42.34342,-71.10203,42.34327,-71.10259,0.030412,8.001,America/New_York,P1.11,USA,715,4,N,3,9271,2,,4,,1,1,,28745,1122,316,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,14373,561,158
129N10947,WALKERS BROOK DR,SOUTHBOUND,RT-129/SALEM ST,MA,MIDDLESEX,01867,42.52614,-71.10095,42.52603,-71.1008,0.010773,1.5,America/New_York,P1.11,USA,1218,4,N,3,9271,2,,2,129,4,1,129,10673,511,112,1,51,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5337,256,56
129N10944,VINNIN ST,EASTBOUND,TEDESCO ST,MA,ESSEX,01970,42.48503,-70.89816,42.4851,-70.89779,0.019463,1.5,America/New_York,P1.11,USA,1217,4,N,3,9271,2,,2,,1,1,,14855,579,163,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,7428,290,82
129-05649,MA-126,SOUTHBOUND,MA-9/MA-30/WORCESTER RD,MA,MIDDLESEX,01701,42.30098,-71.40657,42.29957,-71.40792,0.119571,16.0,America/New_York,P1.11,USA,415,3,N,3,9271,2,,3,30,4,1,30,20283,950,217,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1.5,10142,475,109
129-04337,MA-128,SOUTHBOUND,CONCORD ST/EXIT 13,MA,ESSEX,01930,42.62572,-70.69912,42.624950007085,-70.70805998137,0.465616,8.0,America/New_York,P1.11,USA,80,3,N,2,9271,6,1,4,128,4,1,128,33305,963,308,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,16653,482,154
