tmc,speed_limit
129-08975,40
129-08986,30
129-08984,30
129N08984,30
129N08220,40
129-07608,45
129-08973,35
129-08985,30
129-08976,30
129-08979,25
129-08978,40
129+05670,45
129+05673,35
129+05675,40
129+05671,40
129P05675,40
129+05672,40
129+05674,40
129P05674,40
129P05673,40
129-05669,45
129-05672,35
129N05673,40
129N05675,40
129N05674,40
129-05670,40
129-05671,40
129-05673,40
129-05674,40
129+08687,35
129+05810,35
129+06420,25
129+08689,40
129P05810,30
129+08692,40
129+08686,35
129+08690,50
129+08691,30
129P08691,25
129+08685,30
129+08688,40
129P08685,30
129P06420,25
129-08688,40
129-05810,30
129-08689,50
129-08690,30
129N06420,25
129-06420,35
129N05810,30
129-08691,40
129-08687,40
129-08686,35
129-08685,35
129-06419,25
129+14224,40
129+08674,40
129P08680,30
129P08674,40
129+08678,35
129P08677,40
129+08684,30
129+14226,25
129+08679,35
129+08677,50
129P08676,30
129P14226,30
129+08681,30
129+08683,30
129P14224,25
129+05809,25
129+08676,30
129+08682,30
129P08675,30
129P08683,30
129+08673,45
129P08679,35
129+06419,30
129+08675,30
129+08680,30
129N14226,30
129-08674,30
129-08676,50
129-08684,25
129N14224,25
129-14224,35
129-08679,30
129N08677,40
129-08681,30
129N08674,40
129N08676,30
129N08675,30
129-08673,40
129-08683,30
129-05809,25
129-14226,30
129-08672,45
129-08680,30
129-08677,25
129-08682,30
129N08680,30
129-08678,35
129N08679,35
129N08683,30
129-08675,30
129+10214,30
129+10206,50
129P10212,30
129+10201,30
129+10204,45
129+10207,45
129+10211,35
129+10215,40
129P10201,30
129P10213,40
129+10203,25
129+10213,45
129+10208,35
129P10210,35
129+10212,30
129P10211,25
129P10215,30
129+10202,40
129+10209,40
129+10210,40
129P10205,50
129+10205,50
129-10201,40
129-10206,45
129-10205,50
129N10215,30
129-10212,45
129-10202,25
129N10211,25
129-10200,30
129-10204,50
129N10205,50
129-10214,40
129N10210,35
129N10212,30
129-10211,30
129-10208,40
129-10207,35
129-10203,45
129-10213,30
129N10201,30
129-10209,40
129N10213,40
129-10210,35
129+06290,30
129+05387,30
129+05382,35
129+05367,45
129+05388,30
129+06281,35
129P05378,40
129P05367,45
129+05379,45
129P15504,35
129P14215,30
129+06280,45
129P05371,40
129+06283,30
129+08518,30
129+15612,30
129+05386,30
129+05377,35
129+05376,30
129+05368,35
129+08517,30
129+05374,40
129+05385,30
129+14215,30
129+05384,35
129+05381,35
129+06284,30
129+05371,40
129P06281,35
129P05387,30
129P05369,30
129P06284,30
129P05379,40
129P05381,35
129+06282,30
129+05372,50
129+05389,30
129+05383,35
129+05380,40
129P05375,30
129+15504,35
129P05382,35
129P05386,30
129P08518,25
129+05369,30
129+05378,40
129P06290,30
129+05370,30
129+05375,30
129P05389,30
129N05384,35
129N05378,40
129N06281,35
129N05382,35
129-06283,30
129-05383,35
129-05382,35
129-05377,35
129-05381,30
129-05384,35
129-05380,35
129-05386,30
129-05388,30
129N15504,35
129-05368,25
129-05367,35
129-05370,40
129N05387,30
129-05375,30
129N05375,30
129-14215,30
129N05381,35
129-05378,45
129-15504,35
129-05372,40
129-05376,35
129N05367,40
129-06281,40
129N05369,25
129-05385,30
129-06280,40
129-05379,40
129-06282,30
129-06290,30
129N05379,40
129N05389,30
129-08516,30
129N14215,30
129N05386,30
129-08517,30
129-05366,40
129N05371,40
129-06284,30
129-05374,30
129N06284,30
129-05387,30
129-05369,35
129-05371,50
129-08372,30
129N08429,25
129-14331,30
129N08373,30
129N08377,25
129-08430,30
129N14331,30
129N08431,25
129N08370,30
129-08373,30
129-08374,30
129N08368,35
129N08505,25
129-08370,30
129-08368,30
129-08375,30
129-08369,30
129-08371,30
129N08369,30
129N08378,25
129N08374,30
129-08377,25
129-08429,30
129N08371,30
129+08371,30
129+08378,30
129+08431,30
129+08372,30
129+08370,30
129+08375,30
129+14331,30
129+08374,30
129+08377,30
129P08377,25
129P08370,30
129+08430,30
129P08369,30
129P08505,25
129P08378,30
129P08375,25
129P08431,25
129P08368,35
129P08374,30
129P08429,30
129P08371,30
129+08373,30
129+08369,30
129P08373,30
129+08176,35
129+08173,35
129P08155,45
129+08177,30
129P08174,40
129P10444,35
129+08178,35
129+08181,30
129+08179,25
129+08172,30
129+08174,35
129+08175,40
129P08171,45
129P08181,30
129+10443,35
129P08172,30
129+10444,35
129P08179,25
129+08180,30
129P08178,25
129-08173,40
129-08176,30
129-08174,40
129-10443,35
129N08179,25
129N10442,35
129-08172,35
129-08180,30
129-10442,35
129-08178,25
129N08174,40
129N10444,35
129N08172,30
129N08155,45
129N08171,45
129-08171,30
129-08179,30
129-08175,35
129N08178,25
129N08181,30
129-08177,35
129+05703,40
129P06316,25
129+05684,35
129+05708,30
129+05690,40
129+05696,30
129+06318,35
129P05680,25
129+06316,25
129P08741,30
129+05705,35
129P05698,30
129+05697,35
129P05710,35
129+05680,45
129+08741,40
129+05691,40
129+06317,35
129+05693,40
129P05707,25
129P05679,45
129+05699,30
129+05702,40
129+05686,40
129+05685,40
129+05689,40
129+05695,30
129+05687,35
129+05709,35
129+05682,40
129+08740,35
129+05692,55
129P05690,25
129P05706,35
129+08742,40
129P05693,40
129+05707,30
129+05701,25
129P05692,40
129+06315,40
129+05688,35
129+05694,30
129P05701,25
129+05698,30
129+05704,40
129+05710,30
129+05700,35
129+05683,35
129+05706,35
129+05681,30
129P05686,25
129P08740,30
129-05684,35
129-05704,35
129-08740,40
129-05701,40
129-05685,40
129-05692,40
129-05691,55
129-05699,35
129N05693,40
129-05702,40
129-05688,40
129-05710,35
129N05701,25
129-05708,35
129-05681,40
129-05694,30
129N08741,30
129-05687,35
129N05680,25
129N05706,35
129N05692,40
129N05686,25
129-05703,40
129-05693,30
129N08740,30
129-05686,35
129-05695,30
129-06316,40
129N05710,35
129N05690,25
129N05698,30
129-05682,35
129-05697,30
129-06315,25
129-05689,40
129-06317,40
129-08741,40
129-05700,35
129-05709,30
129-05706,30
129-05705,35
129N05679,45
129-05680,30
129-05707,30
129-05679,45
129N06316,25
129-05696,35
129-05690,40
129-05683,35
129N05707,30
129-05698,30
129-06318,25
129+06484,40
129P05813,30
129P06484,40
129+06490,30
129+06483,40
129+05816,30
129+05814,35
129P05818,45
129P16093,30
129+06485,40
129P05815,35
129P05816,30
129+16092,35
129+05818,40
129+06480,30
129+16093,30
129+05815,35
129+06481,40
129+05817,30
129P05817,40
129+06482,30
129P05814,35
129P06480,30
129-06481,30
129-05817,30
129-05814,35
129-05813,35
129N05814,35
129-06485,45
129N05817,40
129-06483,40
129-06490,35
129-16093,30
129-06480,35
129N06484,40
129N06490,35
129-16092,30
129N05818,45
129N05815,35
129N05816,25
129-05816,40
129-06482,35
129-06484,40
129-05815,35
